"","care_group","CH","ADC","ECH","MHH","ownership"
"602","Community Places Ltd","   2    ","       ","       ","       ","P"
"603","Community Therapeutic Services Ltd","   5    ","       ","       ","       ","P"
"604","Compleate Care  UK  Ltd","   1    ","       ","   1    ","       ","P"
"605","Complete Care Homes Ltd","   4    ","       ","       ","       ","P"
"606","Complete Care Services Ltd","   4    ","       ","       ","       ","P"
"607","Completelink Ltd","   3    ","       ","       ","       ","P"
"608","Mrs Cathy Conchie","   2    ","       ","       ","       ","P"
"609","Condover College","   11   ","       ","       ","       ","V"
"610","Connifers Care Ltd","   10   ","       ","       ","       ","P"
"611","Conniston Care Ltd","   3    ","       ","       ","       ","P"
"612","Consensus Support","   65   ","       ","       ","       ","P"
"613","Constantia Healthcare  Middlesbrough  Ltd","   2    ","       ","       ","       ","P"
"614","Contemplation Homes Ltd","   12   ","       ","       ","       ","P"
"615","Contour Homes","       ","       ","   2    ","       ","P"
"616","Conway Group Healthcare","   7    ","       ","       ","       ","P"
"617","Cooper Tarry Partners LLP","   2    ","       ","       ","       ","P"
"618","David Cope","   3    ","       ","       ","       ","P"
"619","Cornerstone","   17   ","       ","       ","       ","V"
"620","Cornerstone Health Care Ltd","   2    ","       ","       ","       ","P"
"621","Cornerstones  UK  Ltd","   5    ","       ","       ","       ","P"
"622","Cornwall Care Ltd","   16   ","       ","       ","       ","V"
"623","Cornwall Council","   4    ","       ","       ","       ","L"
"624","Cornwallis Care Services Ltd","   4    ","       ","       ","       ","P"
"625","Corton House Ltd","   1    ","       ","   1    ","       ","V"
"626","Cotdean Nursing Homes Ltd","   2    ","       ","       ","       ","P"
"627","The Cote Charity","   2    ","       ","       ","       ","V"
"628","Coton Care Ltd","   2    ","       ","       ","       ","P"
"629","Cotswold House and Cavendish Care Homes","   2    ","       ","       ","       ","P"
"630","Counticare Ltd","   3    ","       ","       ","       ","P"
"631","Country Care Homes Ltd","   2    ","       ","       ","       ","P"
"632","Country Court Care","   23   ","       ","       ","       ","P"
"633","Countrywide Care Homes Ltd","   33   ","       ","       ","       ","P"
"634","County Care Homes Ltd","   2    ","       ","       ","       ","P"
"635","Coveleaf Ltd","   2    ","       ","       ","       ","P"
"636","Coventry and Warwickshire Partnership NHS Trust","   4    ","       ","       ","       ","N"
"637","Coventry City Council","   2    ","       ","       ","       ","L"
"638","Coverage Care Services Ltd","   13   ","       ","   2    ","       ","V"
"639","Mark Cowling","   2    ","       ","       ","       ","P"
"640","Coxbench Hall Ltd","   1    ","       ","   1    ","       ","P"
"641","S L Crabtree","   2    ","       ","       ","       ","P"
"642","Craegmoor","   158   ","       ","       ","       ","P"
"643","Lucy Craig","   2    ","       ","       ","       ","P"
"644","Craigard Care Ltd","   4    ","       ","       ","       ","P"
"645","Cranford Care Homes Ltd","   2    ","       ","       ","       ","P"
"646","Cranstoun","   3    ","       ","       ","       ","V"
"647","Crawford Homes Ltd","   2    ","       ","       ","       ","P"
"648","Cream Care","   5    ","       ","       ","       ","P"
"649","Creative Care  East Midlands  Ltd","   7    ","       ","       ","       ","P"
"650","Creative Support and Consultancy Ltd","   5    ","       ","       ","       ","P"
"651","Creative Support Ltd","   15   ","       ","   3    ","       ","V"
"652","Crediton Care   Support Homes Ltd","   2    ","       ","       ","       ","P"
"653","The Crescent Care Group","   3    ","       ","       ","       ","P"
"654","Crocus Care Ltd","   3    ","       ","       ","       ","P"
"655","Croft Care Homes Ltd","   6    ","       ","       ","       ","P"
"656","Croft Care Trust","   2    ","       ","       ","       ","V"
"657","Croftlands Trust","   4    ","       ","       ","       ","V"
"658","The Croll Group","   4    ","       ","       ","       ","P"
"659","Crosscrown Ltd","   8    ","       ","       ","       ","P"
"660","Crown Care","   12   ","       ","       ","       ","P"
"661","Crownwise Ltd","   3    ","       ","       ","       ","P"
"662","London Borough of Croydon","   1    ","       ","   1    ","       ","L"
"663","Crystal Care","   8    ","       ","       ","       ","P"
"664","Crystal House Platinum Ltd","   3    ","       ","       ","       ","P"
"665","Crystal Nursing Services Ltd","   2    ","       ","       ","       ","P"
"666","Cubanhall Ltd","   2    ","       ","       ","       ","P"
"667","Cuerden Developments Ltd","   5    ","       ","       ","       ","P"
"668","Cumbria County Council","   30   ","       ","       ","       ","L"
"669","Cumbric Care Group","   7    ","       ","       ","       ","P"
"670","Curado Group","   2    ","       ","       ","       ","P"
"671","Curo Group","       ","       ","   2    ","       ","V"
"672","Dr   Mrs Robert N Curzon","   2    ","       ","       ","       ","P"
"673","Cwm Care Home Ltd","   2    ","       ","       ","       ","P"
"674","Cwmdare Home Ltd","   2    ","       ","       ","       ","P"
"675","Cygnet Care Ltd","   5    ","       ","       ","       ","P"
"676","Cygnet Health Care Ltd","   2    ","       ","       ","   17   ","P"
"677","Czajka Care Group","   5    ","       ","   1    ","       ","P"
"678","DE Healthcare","   1    ","       ","   1    ","       ","P"
"679","D E M A Residential Homes Ltd","   2    ","       ","       ","       ","P"
"680","D F B  Care  Ltd","   2    ","       ","       ","       ","P"
"681","D M Care Ltd","   2    ","       ","       ","       ","P"
"682","D R S Care Homes Ltd","   3    ","       ","       ","       ","P"
"683","Edward Dale","   1    ","       ","   1    ","       ","P"
"684","Dalesview Partnership Ltd","   5    ","       ","       ","       ","P"
"685","Dalskats Ltd","   3    ","       ","       ","       ","P"
"686","Dame Hannah Rogers Trust","   3    ","       ","       ","       ","V"
"687","Danshell Group","   13   ","       ","       ","   13   ","P"
"688","Darbyshire Care Ltd","   2    ","       ","       ","       ","P"
"689","Darlington Borough Council","   1    ","   2    ","   2    ","       ","L"
"690","Darrington Healthcare","   3    ","       ","       ","       ","P"
"691","Davenport Manor Nursing Home Ltd","   2    ","       ","       ","       ","P"
"692","Daybreak","       ","   3    ","       ","       ","V"
"693","De Vere Care","   3    ","   1    ","       ","       ","P"
"694","Mr   Mrs J Deary","   2    ","       ","       ","       ","P"
"695","Deepdene Care","   5    ","       ","       ","   1    ","P"
"696","Parminder Degun","   2    ","       ","       ","       ","P"
"697","Delphine Homecare Ltd","   2    ","       ","       ","       ","P"
"698","Delpin Ltd","   2    ","       ","       ","       ","P"
"699","Delrose House Ltd","   2    ","       ","       ","       ","P"
"700","Delta Care","   1    ","   1    ","       ","       ","P"
"701","Dementia Resource Community","   2    ","   1    ","       ","       ","P"
"702","Denbighshire County Council","   3    ","       ","       ","       ","L"
"703","Denestar Ltd","   3    ","       ","       ","       ","P"
"704","Denmax Ltd","   2    ","       ","       ","       ","P"
"705","Tina Dennison","   2    ","       ","       ","       ","P"
"706","Derby City Council","   7    ","       ","       ","       ","L"
"707","Derbyshire County Council","   27   ","   5    ","   2    ","       ","L"
"708","Devaglade Ltd","   4    ","       ","       ","       ","P"
"709","Devon Care Group","   8    ","       ","       ","       ","P"
"710","Devon County Council","   5    ","   26   ","       ","       ","L"
"711","Devonshire Care","   4    ","       ","       ","       ","P"
"712","H Dhunnoo","   2    ","       ","       ","       ","P"
"713","Diagrama Healthcare Services Ltd","   3    ","       ","       ","       ","V"
"714","Diamond Care  2000  Ltd","   3    ","       ","       ","       ","P"
"715","Diamond Healthcare Ltd","   4    ","       ","       ","       ","P"
"716","Mr   Mrs Leander Difford","   3    ","       ","       ","       ","P"
"717","Dignity Care Group","   2    ","       ","       ","       ","P"
"718","Dignity Group Ltd","   2    ","       ","       ","       ","P"
"719","Dignus Healthcare Ltd","   6    ","       ","       ","       ","P"
"720","Dimensions  UK  Ltd","   57   ","       ","       ","       ","V"
"721","The Disabilities Trust","   32   ","       ","   1    ","   2    ","V"
"722","Discovery Care Ltd","   3    ","       ","       ","       ","P"
"723","Mr   Mrs J Dobbin S Dobbin and Ms S Dobbin","   2    ","       ","       ","       ","P"
"724","Dolphin Homes Ltd","   12   ","       ","       ","       ","P"
"725","Doncaster Metropolitan Borough Council","   4    ","   3    ","       ","       ","L"
"726","Donnelly Care Homes Ltd","   2    ","       ","       ","       ","P"
"727","Mr   Mrs Raj Doorga","   3    ","       ","       ","       ","P"
"728","Dorrington House","   3    ","       ","   1    ","       ","P"
"729","Dovehaven Care Group","   17   ","       ","       ","       ","P"
"730","Doveleigh Care Ltd","   3    ","       ","       ","       ","P"
"731","A B Downing","   2    ","       ","       ","       ","P"
"732","Downing Care","   4    ","       ","       ","       ","P"
"733","The Drive Care Homes Ltd","   5    ","       ","       ","       ","P"
"734","Dryband One Ltd","   6    ","       ","       ","       ","P"
"735","Mr   Mrs J Dudhee","   2    ","       ","       ","       ","P"
"736","Dudley Metropolitan Borough Council","   2    ","       ","   7    ","       ","L"
"737","Duffryn Ffrwd Manor","   2    ","       ","       ","       ","P"
"738","Dukeries Healthcare Ltd","   4    ","       ","       ","       ","P"
"739","Dumfries   Galloway Council","   2    ","   3    ","       ","       ","L"
"740","Dumfries and Galloway Housing Partnership","       ","       ","   2    ","       ","V"
"741","Dundee City Council","   6    ","   1    ","   1    ","       ","L"
"742","Tony Dunlop","   2    ","       ","       ","       ","P"
"743","Dunsland House Ltd","   1    ","   1    ","       ","       ","P"
"744","The Durnford Society Ltd","   3    ","       ","       ","       ","V"
"745","Dysons Wood Trust","   2    ","       ","       ","       ","V"
"746","Dyzack Ltd","   3    ","       ","       ","       ","P"
"747","Eagle Care Homes Ltd","   5    ","       ","       ","       ","P"
"748","London Borough of Ealing","   1    ","   4    ","   3    ","       ","L"
"749","East Anglia Care Homes Ltd","   2    ","       ","       ","       ","P"
"750","East Ayrshire Council","   2    ","       ","   1    ","       ","L"
"751","East Cheshire Housing Consortium","   3    ","       ","       ","       ","V"
"752","East Living Ltd","   8    ","       ","   2    ","       ","V"
"753","East Lothian District Council","   4    ","   10   ","       ","       ","L"
"754","East Riding of Yorkshire Council","   7    ","   4    ","       ","       ","L"
"755","East Sussex County Council","   7    ","   6    ","   1    ","       ","L"
"756","East View Housing Management Ltd","   10   ","       ","       ","       ","P"
"757","Eastbourne   District Mencap Ltd","   3    ","       ","       ","       ","V"
"758","Eastbourne Homes Ltd","       ","       ","   2    ","       ","P"
"759","Easteden Ltd","   3    ","       ","       ","       ","P"
"760","Eastern Healthcare Ltd","   4    ","       ","       ","       ","P"
"761","Eastgate Care Ltd","   5    ","       ","       ","       ","P"
"762","Eastleigh Care Homes Ltd","   4    ","       ","       ","       ","P"
"763","Eckling Grange Ltd","   1    ","       ","   1    ","       ","V"
"764","Eden Housing Association","       ","       ","   2    ","       ","P"
"765","Eden Place Ltd","   3    ","       ","       ","       ","P"
"766","Edge Hill Ltd","   3    ","       ","       ","       ","P"
"767","Edge View Homes Ltd","   4    ","       ","       ","       ","P"
"768","City of Edinburgh Council","   12   ","       ","       ","       ","L"
"769","The Edmund Trust","   5    ","       ","       ","       ","V"
"770","Education and Services for People with Autism Ltd","   13   ","       ","       ","       ","V"
"771","Eildon Housing Association Ltd","       ","       ","   5    ","       ","V"
"772","E L Marsh Care Home Ltd","   2    ","       ","       ","       ","P"
"773","Mr   Mrs P Elango","   2    ","       ","       ","       ","P"
"774","Elder Homes Group","   10   ","       ","   1    ","       ","P"
"775","Elder Homes Ltd","   2    ","       ","       ","       ","P"
"776","Eldercare  Halifax  Ltd","   11   ","       ","       ","       ","P"
"777","Eldon Housing Association Ltd","       ","       ","   2    ","       ","V"
"778","Eleanor Nursing and Social Care Ltd","   2    ","       ","       ","       ","P"
"779","Eleanor Palmer Trust","   1    ","       ","   3    ","       ","V"
"780","Elizabeth Finn Homes Ltd","   9    ","       ","   1    ","       ","V"
"781","Elizabeth House  Oldham  Ltd","   2    ","       ","       ","       ","P"
"782","Elizabeth Peters Care Homes Ltd","   4    ","       ","       ","       ","P"
"783","Elm Tree Care Group Ltd","   2    ","       ","       ","       ","P"
"784","Elm Tree Care Home Ltd","   5    ","       ","       ","       ","P"
"785","Elmbank Residential Care Home Ltd","   2    ","       ","       ","       ","P"
"786","Elmcare Ltd","   2    ","       ","       ","       ","P"
"787","The Elms Residential Homes Ltd","   2    ","       ","       ","       ","P"
"788","Elpha Lodge Ltd","   3    ","       ","       ","       ","P"
"789","Mr   Mrs H Emambocus","   2    ","       ","       ","       ","P"
"790","Emas Ltd","   3    ","       ","       ","       ","P"
"791","Embrace","   63   ","       ","       ","       ","P"
"792","Emerald Care Services Ltd","   3    ","       ","       ","       ","P"
"793","Eminence Care Ltd","   1    ","   1    ","       ","       ","P"
"794","Emyvale Care","   5    ","       ","       ","       ","P"
"795","Enable Care   Home Support Ltd","   11   ","       ","   1    ","       ","V"
"796","Enable Care Services  South Wales  Ltd","   4    ","       ","       ","       ","P"
"797","Enable Homes Ltd","   2    ","       ","       ","       ","V"
"798","Enable Scotland  Leading the Way","   4    ","       ","       ","       ","V"
"799","Encompass  Dorset","   8    ","       ","       ","   1    ","V"
"800","London Borough of Enfield","   3    ","   3    ","   2    ","       ","L"
"801","English Care Ltd","   2    ","       ","       ","       ","P"
"802","English Dominican Congregation  Stone  Charitable Trust","   2    ","       ","       ","       ","P"
"803","Enhance Healthcare Ltd","   3    ","       ","       ","       ","P"
"804","Eothen Homes Ltd","   4    ","       ","       ","       ","V"
"805","Ephraims Care Group Ltd","   4    ","       ","       ","       ","P"
"806","Epilepsy Society","   7    ","       ","       ","       ","V"
"807","Equality Care Ltd","   3    ","       ","       ","       ","P"
"808","Equilibrium Healthcare Ltd","   2    ","       ","       ","   2    ","P"
"809","Equinox   Central Office","   3    ","       ","       ","       ","V"
"810","Equity Housing Group","       ","       ","   2    ","       ","P"
"811","Erskine Hospital","   4    ","       ","       ","       ","V"
"812","Essex Care Consortium Ltd","   4    ","   1    ","       ","       ","P"
"813","Essex County Care Ltd","   6    ","       ","       ","       ","P"
"814","Essex County Council","   6    ","       ","       ","       ","L"
"815","Esteem Care Ltd","   2    ","       ","       ","       ","P"
"816","Estuary Housing Association Ltd","   10   ","       ","       ","       ","P"
"817","Europe Care Holdings Ltd","   3    ","       ","       ","       ","P"
"818","European Healthcare Group plc","   10   ","       ","   1    ","       ","P"
"819","Evans Care Ltd","   2    ","       ","       ","       ","P"
"820","Mrs E P M Evans","   3    ","       ","       ","       ","P"
"821","Evolve Care Group","   6    ","   3    ","   2    ","       ","P"
"822","Exalon Autonomy Group Ltd","   3    ","       ","       ","       ","P"
"823","Excelcare Holdings","   30   ","       ","       ","       ","P"
"824","Excellent Care Homes","   4    ","       ","       ","       ","P"
"825","Exclusive Care Group","   2    ","       ","       ","       ","P"
"826","Exclusive Care Ltd","   4    ","       ","       ","       ","P"
"827","Executive Care Group","   24   ","       ","       ","       ","P"
"828","Exemplar Health Care Ltd","   25   ","       ","       ","       ","P"
"829","Exmouth Care Ltd","   2    ","       ","       ","       ","P"
"830","Expect Ltd","   4    ","       ","   3    ","       ","V"
"831","Extel Ltd","   9    ","       ","       ","       ","P"
"832","ExtraCare Charitable Trust","       ","       ","   31   ","       ","V"
"833","Extrafriend Ltd","   3    ","       ","       ","       ","P"
"834","F B C Care Homes Ltd","   2    ","       ","       ","       ","P"
"835","Fairfield Scotland Ltd","   2    ","       ","       ","       ","P"
"836","Fairmont Residential Ltd","   4    ","       ","       ","       ","P"
"837","Fairways Care Ltd","   2    ","       ","       ","       ","P"
"838","Falkirk Council","   7    ","       ","   1    ","       ","L"
"839","Family Care Co Ltd","   2    ","       ","       ","       ","P"
"840","Family Care Trust","   1    ","   1    ","       ","       ","V"
"841","Family Mosaic Housing","   8    ","       ","   2    ","       ","V"
"842","Far Fillimore Care Homes Ltd","   3    ","       ","       ","       ","P"
"843","Farrington Care Homes Ltd","   13   ","       ","   1    ","       ","P"
"844","Father Hudson s Society","   2    ","       ","       ","       ","V"
"845","Fellingate Care Centre Ltd","   3    ","       ","       ","       ","P"
"846","Olu Femiola","   2    ","       ","       ","       ","P"
"847","Fernbrook Care Homes Ltd","   2    ","       ","       ","       ","P"
"848","Ferry Care","   3    ","       ","       ","       ","P"
"849","Fewcott Healthcare Ltd","   3    ","       ","       ","       ","P"
"850","Field Lane Foundation","   1    ","       ","   1    ","       ","V"
"851","Fife Council","   12   ","   6    ","   1    ","       ","L"
"852","Fig Tree Dementia Care","   3    ","       ","       ","       ","P"
"853","Mr   Mrs Roger Fillingham","   2    ","       ","       ","       ","P"
"854","Fircroft Services Ltd","   2    ","       ","       ","       ","P"
"855","First Care Homes Group","   2    ","       ","       ","       ","P"
"856","First Care Services Ltd","   2    ","       ","       ","       ","P"
"857","First Choice Care Ltd","   2    ","       ","       ","       ","P"
"858","First Class Care Ltd","   1    ","       ","   1    ","       ","P"
"859","FirstPort Retirement","       ","       ","   31   ","       ","P"
"860","Fisher Partnership","   5    ","       ","       ","       ","P"
"861","FitzRoy   Central Support","   16   ","       ","       ","       ","V"
"862","Flagship Housing","   1    ","       ","   5    ","       ","P"
"863","Flexible Support Options","   5    ","       ","       ","       ","P"
"864","Flightcare Ltd","   7    ","       ","       ","       ","P"
"865","Flintshire County Council","   3    ","       ","       ","       ","L"
"866","Flintvale Ltd","   2    ","       ","       ","       ","P"
"867","Seamus Flood","   2    ","       ","       ","       ","P"
"868","Florence Lodge Healthcare Ltd","   2    ","       ","       ","       ","P"
"869","Florijn Care Ltd","   2    ","       ","       ","       ","P"
"870","Fold Housing Association","   6    ","       ","   5    ","       ","V"
"871","Follett Care Ltd","   2    ","       ","       ","       ","P"
"872","Foresight Residential Ltd","   4    ","       ","       ","       ","P"
"873","Forest Care Ltd","   4    ","       ","       ","       ","P"
"874","Forest Gate Healthcare Ltd","   4    ","       ","       ","       ","P"
"875","Forest Healthcare","   13   ","       ","       ","       ","P"
"876","Forest Pines Care","   3    ","       ","       ","       ","P"
"877","Forest Residential Care Homes Ltd","   4    ","       ","       ","       ","P"
"878","The Fortune Centre of Riding Therapy","   2    ","       ","       ","       ","V"
"879","Forward Care  Residential  Ltd","   2    ","       ","       ","       ","P"
"880","Mr   Mrs S Foster","   2    ","       ","       ","       ","P"
"881","Foundation","   2    ","       ","       ","       ","V"
"882","Four Seasons Health Care","   319   ","   1    ","   2    ","       ","P"
"883","Foxcare Ltd","   2    ","       ","       ","       ","P"
"884","Foxglove Care Ltd","   9    ","       ","       ","       ","P"
"885","Foxley Lodge Care Ltd","   2    ","       ","       ","       ","P"
"886","The Frances Taylor Foundation","   8    ","       ","       ","       ","V"
"887","Franciscan Missionary Sisters","   2    ","       ","       ","       ","V"
"888","Franklin Homes Ltd","   3    ","       ","       ","       ","P"
"889","The Franklyn Group Ltd","   3    ","       ","       ","       ","P"
"890","Free Presbyterian Church of Scotland","   2    ","       ","       ","       ","V"
"891","Freedom Care Ltd","   5    ","       ","       ","       ","P"
"892","Freeways","   9    ","   1    ","       ","       ","V"
"893","The Fremantle Trust","   24   ","   3    ","   1    ","       ","V"
"894","Fremington Homes Ltd","       ","       ","   8    ","       ","P"
"895","Friary Care Ltd","   2    ","       ","       ","       ","P"
"896","Friendly Care Group","   5    ","       ","       ","       ","P"
"897","Friends of the Elderly","   13   ","       ","       ","       ","V"
"898","Friendship Care   Housing Group","   2    ","       ","       ","       ","V"
"899","Fronhaul   Brookfield Care Home Ltd","   2    ","       ","       ","       ","P"
"900","Future Directions CIC","   3    ","       ","       ","       ","P"
"901","Future Health and Social Care Association CIC","   7    ","       ","       ","       ","P"
"902","Future Home Care Ltd","   2    ","       ","   1    ","       ","V"
"903","Futures Care Homes Ltd","   2    ","       ","       ","       ","P"
"904","G   A Investments Projects Ltd","   3    ","       ","       ","       ","P"
"905","G B Care Ltd","   2    ","       ","       ","       ","P"
"906","GMA Healthcare Ltd","   2    ","       ","       ","       ","P"
"907","Gainford Care Homes Ltd","   12   ","       ","       ","       ","P"
"908","Galleon Care Homes Ltd","   7    ","       ","       ","       ","P"
"909","Ganymede Care Ltd","   2    ","       ","       ","       ","P"
"910","Garforth Residential Homes Ltd","   2    ","       ","       ","       ","P"
"911","Gate Healthcare Ltd","   3    ","       ","       ","       ","P"
"912","Gateshead Council","   5    ","   2    ","       ","       ","L"
"913","Gateway Housing","   2    ","       ","       ","       ","V"
"914","Gedling Homes","       ","       ","   3    ","       ","P"
"915","Gem Care Ltd","   3    ","       ","       ","       ","P"
"916","Gemini Care Ltd","   2    ","       ","       ","       ","P"
"917","Genesis Homes  Essex  Ltd","   3    ","       ","       ","       ","P"
"918","Genesis Housing Association","       ","       ","   21   ","       ","P"
"919","George Dixon   Partners","   2    ","       ","       ","       ","P"
"920","Mrs Renu Ghai","   2    ","       ","       ","       ","P"
"921","Mr   Mrs Stephen Gilmour","   2    ","       ","       ","       ","P"
"922","Dawn Gittins","   2    ","       ","       ","       ","P"
"923","Glancestyle Care Homes plc","   2    ","       ","       ","       ","P"
"924","Glasgow City Council","   14   ","   33   ","       ","       ","L"
"925","Glasgow Housing Association","       ","       ","   2    ","       ","V"
"926","Glasgow Simon Community","   2    ","       ","       ","       ","V"
"927","Glaslyn Retirement Homes Ltd","   2    ","       ","       ","       ","P"
"928","Glebe Housing Association Ltd","   1    ","       ","   1    ","       ","V"
"929","Glenfairn Ltd","   2    ","       ","       ","       ","P"
"930","Glenfield Care Ltd","   2    ","       ","       ","       ","P"
"931","Glenmore Trust","   2    ","       ","       ","       ","V"
"932","Glenside Manor Healthcare Services Ltd","   5    ","       ","       ","   1    ","P"
"933","Glentworth House","   2    ","       ","       ","       ","P"
"934","The Gloucester Charities Trust","   2    ","       ","       ","       ","V"
"935","Gloucestershire County Council","   5    ","       ","       ","       ","L"
"936","Gloucestershire Group Homes Ltd","   6    ","       ","       ","       ","V"
"937","Godavri Healthcare Ltd","   4    ","       ","       ","       ","P"
"938","Karen Godwin","   2    ","       ","       ","       ","P"
"939","Gofal Cymru Care","   5    ","   1    ","       ","       ","P"
"940","Mrs A Going Kenneth Going Raymond   Marion Galbraith","   2    ","       ","       ","       ","P"
"941","Gold Care Homes","   20   ","       ","       ","       ","P"
"942","Gold Hill Housing Association Ltd t a Gold Hill Care","   1    ","       ","   1    ","       ","V"
"943","Golden Care  UK  Ltd","   2    ","       ","       ","       ","P"
"944","Goldsborough Estates","       ","       ","   9    ","       ","P"
"945","Krystyana Gordon","   2    ","       ","       ","       ","P"
"946","Goring Care Homes Ltd","   2    ","       ","       ","       ","P"
"947","Gospel Standard Bethesda Fund","   3    ","       ","       ","       ","V"
"948","The Governors of Ridgegate Home","   1    ","   1    ","       ","       ","V"
"949","Grace and Compassion Benedictines","   4    ","       ","   2    ","       ","V"
"950","Graceland Social Care Services Ltd","   2    ","       ","       ","       ","P"
"951","Gracewell Healthcare Ltd","   18   ","   1    ","       ","       ","P"
"952","Gradestone Ltd","   2    ","       ","       ","       ","P"
"953","Graham Care Group","   8    ","       ","   4    ","       ","P"
"954","The Grand Lodge of Scotland","   2    ","       ","       ","       ","V"
"955","Grange Care Services Ltd","   2    ","       ","       ","       ","P"
"956","Grange Healthcare Ltd","   2    ","       ","       ","       ","P"
"957","Grangemoor Care Homes","   3    ","       ","       ","       ","P"
"958","Grapevine Care Ltd","   2    ","       ","       ","       ","P"
"959","Gravers Care Home Ltd","   2    ","       ","       ","       ","P"
"960","GrayAreas Ltd","   2    ","       ","       ","       ","P"
"961","Grazebrook Homes Ltd","   2    ","       ","       ","       ","P"
"962","Great Places Housing Group","       ","       ","   2    ","       ","P"
"963","The Green Care Group","   3    ","       ","       ","       ","P"
"964","Green Cross Care","   2    ","       ","       ","       ","P"
"965","Green Light PBS Ltd","   10   ","       ","       ","       ","P"
"966","Green Square","       ","       ","   5    ","       ","V"
"967","Green Vale Homes","       ","       ","   2    ","       ","P"
"968","Greenacres Care Home Ltd","   2    ","       ","       ","       ","P"
"969","Greenock Medical Aid Society","   2    ","       ","       ","       ","V"
"970","Greenroyd Residential Home Ltd","   2    ","       ","       ","       ","P"
"971","Greensleeves Care","   20   ","       ","       ","       ","V"
"972","Greenswan Consultants Ltd","   2    ","       ","       ","       ","P"
"973","Greentree Enterprises Ltd","   4    ","       ","       ","       ","P"
"974","London Borough of Greenwich","   5    ","       ","       ","       ","L"
"975","Greta Cottage Ltd","   2    ","       ","       ","       ","P"
"976","Greys Care Group","   2    ","       ","       ","       ","P"
"977","Grove Care Partnership Ltd","   3    ","       ","       ","       ","P"
"978","Guild Care","   4    ","   1    ","       ","       ","V"
"979","Guildford Borough Council","       ","   2    ","   3    ","       ","L"
"980","The Guiness Partnership Ltd","   1    ","       ","   1    ","       ","V"
"981","Guinness Care   Support","   6    ","       ","   11   ","       ","V"
"982","Lal Gunaratne","   2    ","       ","       ","       ","P"
"983","M Gunputh","   2    ","       ","       ","       ","P"
"984","Gwalia","   9    ","       ","   3    ","       ","P"
"985","Gwynedd Council","   14   ","       ","       ","       ","L"
"986","HC One","   192   ","       ","       ","       ","P"
"987","H C S  Enfield  Ltd","   2    ","       ","       ","       ","P"
"988","H F Trust Ltd","   48   ","       ","   5    ","       ","V"
"989","H I C A Group","   18   ","       ","   2    ","       ","V"
"990","H M T Care","   2    ","       ","       ","       ","P"
"991","H U Investments Ltd","   2    ","       ","       ","       ","P"
"992","Habilis Operations Ltd","   2    ","       ","       ","       ","P"
"993","London Borough of Hackney","   1    ","   3    ","       ","       ","L"
"994","Mr   Mrs G Haddow","   2    ","       ","       ","       ","P"
"995","Hadrian Healthcare Group","   6    ","       ","       ","       ","P"
"996","Hafod Care Association","   10   ","       ","       ","       ","V"
"997","Hafod Care Homes","   2    ","       ","       ","       ","P"
"998","Hail Ltd","   4    ","       ","       ","       ","V"
"999","Halcyon Care Group","   10   ","       ","       ","       ","P"
"1000","Hale Place Care Homes Ltd","   2    ","   1    ","   1    ","       ","P"
"1001","John Hall","   1    ","       ","   1    ","       ","P"
"1002","Kevin Hall","   2    ","       ","       ","       ","P"
"1003","Mrs S Spencer and Mrs T Hall","   2    ","       ","       ","       ","P"
"1004","Hallmark Care Homes","   16   ","       ","       ","       ","P"
"1005","Hall Scott Care","   2    ","       ","       ","       ","P"
"1006","Hamelin Trust","   2    ","       ","       ","       ","V"
"1007","Dr J Hamid","   1    ","   1    ","       ","       ","P"
"1008","Hamilton Care Ltd","   2    ","       ","       ","       ","P"
"1009","Hamilton House Medical Ltd","   2    ","       ","       ","       ","P"
"1010","Mrs S Hamilton","   2    ","       ","       ","       ","P"
"1011","London Borough of Hammersmith   Fulham","   2    ","   2    ","       ","       ","L"
"1012","Hampshire County Council","   24   ","       ","       ","       ","L"
"1013","Handsale Ltd","   8    ","       ","       ","       ","P"
"1014","Mr   Mrs T P Hanley","   3    ","       ","       ","       ","P"
"1015","Hanover","       ","       ","   68   ","       ","V"
"1016","Hanover  Scotland  Housing Association","       ","       ","   4    ","       ","V"
"1017","Harbour Healthcare Ltd","   10   ","       ","       ","       ","P"
"1018","Harbour Rise Ltd","   1    ","   1    ","       ","       ","P"
"1019","London Borough of Haringey","   2    ","   2    ","       ","       ","L"
"1020","Gail Harper","   2    ","       ","       ","       ","P"
"1021","Harrow Council","   5    ","   5    ","       ","       ","L"
"1022","R Hart Care Ltd","   3    ","       ","       ","       ","P"
"1023","Hartford Care Ltd","   10   ","       ","       ","       ","P"
"1024","Hartley House","   2    ","       ","       ","       ","P"
"1025","Hatzfeld Care Ltd","   4    ","       ","       ","       ","P"
"1026","Haven Bell Ltd","   2    ","       ","       ","       ","P"
"1027","Havencare  South West  Ltd","   3    ","       ","       ","       ","V"
"1028","Havering Care Homes Ltd","   2    ","       ","       ","       ","P"
"1029","Nick Hawkins","   2    ","       ","       ","       ","P"
"1030","Hawthorn Court Care Ltd","   2    ","       ","       ","       ","P"
"1031","Hawthorns Lodge Ltd","   4    ","       ","       ","       ","P"
"1032","The Hawthorns Retirement Living","   1    ","       ","   3    ","       ","P"
"1033","Mr   Mrs J C Haydon","   3    ","       ","       ","       ","P"
"1034","Hazelwood Care Ltd","   3    ","       ","       ","       ","P"
"1035","Healey Care Ltd","   5    ","       ","       ","       ","P"
